Movie Title,Release Year,Duration,Rating,IMDb Rating,IMDb Votes
118. Metropolis,1927,2h 33m,Not Rated,8.3 (183K), (183K)
119. Taare Zameen Par,2007,2h 42m,PG,8.3 (204K), (204K)
120. Snatch,2000,1h 44m,R,8.2 (897K), (897K)
121. Ladri di biciclette,1948,1h 29m,Not Rated,8.3 (173K), (173K)
122. L.A. Confidential,1997,2h 18m,R,8.2 (609K), (609K)
123. 1917,2019,1h 59m,R,8.2 (657K), (657K)
124. Taxi Driver,1976,1h 54m,R,8.2 (902K), (902K)
125. Der Untergang,2004,2h 36m,R,8.2 (371K), (371K)
126. Dangal,2016,2h 41m,Not Rated,8.3 (206K), (206K)
127. Per qualche dollaro in più,1965,2h 12m,R,8.2 (270K), (270K)
128. Batman Begins,2005,2h 20m,PG-13,8.2 (1.6M), (1.6M)
129. Some Like It Hot,1959,2h 1m,Passed,8.2 (280K), (280K)
130. The Wolf of Wall Street,2013,3h,R,8.2 (1.5M), (1.5M)
131. The Kid,1921,1h 8m,Passed,8.2 (133K), (133K)
132. Top Gun: Maverick,2022,2h 10m,PG-13,8.3 (657K), (657K)
133. The Father,2020,1h 37m,PG-13,8.2 (185K), (185K)
134. Green Book,2018,2h 10m,PG-13,8.2 (549K), (549K)
135. All About Eve,1950,2h 18m,Passed,8.2 (137K), (137K)
136. Judgment at Nuremberg,1961,2h 59m,Approved,8.3 (83K), (83K)
137. The Truman Show,1998,1h 43m,PG,8.2 (1.2M), (1.2M)
138. There Will Be Blood,2007,2h 38m,R,8.2 (631K), (631K)
139. Shutter Island,2010,2h 18m,R,8.2 (1.4M), (1.4M)
140. Casino,1995,2h 58m,R,8.2 (554K), (554K)
141. Ran,1985,2h 40m,R,8.2 (134K), (134K)
142. Jurassic Park,1993,2h 7m,PG-13,8.2 (1M), (1M)
143. El laberinto del fauno,2006,1h 58m,R,8.2 (696K), (696K)
144. The Sixth Sense,1999,1h 47m,PG-13,8.2 (1M), (1M)
145. Unforgiven,1992,2h 10m,R,8.2 (431K), (431K)
146. A Beautiful Mind,2001,2h 15m,PG-13,8.2 (974K), (974K)
147. 12th Fail,2023,2h 27m,N/A,9.2 (35K), (35K)
148. No Country for Old Men,2007,2h 2m,R,8.2 (1M), (1M)
149. The Treasure of the Sierra Madre,1948,2h 6m,Passed,8.2 (131K), (131K)
150. Yôjinbô,1961,1h 50m,Not Rated,8.2 (129K), (129K)
151. The Thing,1982,1h 49m,R,8.2 (458K), (458K)
152. Kill Bill: Vol. 1,2003,1h 51m,R,8.2 (1.2M), (1.2M)
153. Monty Python and the Holy Grail,1975,1h 31m,PG,8.2 (564K), (564K)
154. The Great Escape,1963,2h 52m,Approved,8.2 (256K), (256K)
155. Finding Nemo,2003,1h 40m,G,8.2 (1.1M), (1.1M)
156. Rashômon,1950,1h 28m,Not Rated,8.2 (178K), (178K)
157. The Elephant Man,1980,2h 4m,PG,8.2 (255K), (255K)
158. Chinatown,1974,2h 10m,R,8.2 (344K), (344K)
159. Hauru no ugoku shiro,2004,1h 59m,PG,8.2 (435K), (435K)
160. Prisoners,2013,2h 33m,R,8.1 (788K), (788K)
161. Dial M for Murder,1954,1h 45m,PG,8.2 (186K), (186K)
162. Gone with the Wind,1939,3h 58m,Passed,8.2 (330K), (330K)
163. V for Vendetta,2005,2h 12m,R,8.2 (1.2M), (1.2M)
"164. Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1 (609K), (609K)
165. Raging Bull,1980,2h 9m,R,8.1 (374K), (374K)
166. El secreto de sus ojos,2009,2h 9m,R,8.2 (220K), (220K)
167. Inside Out,2015,1h 35m,PG,8.1 (769K), (769K)
"168. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1 (545K), (545K)
169. Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2 (854K), (854K)
170. Trainspotting,1996,1h 33m,R,8.1 (717K), (717K)
